wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ012,1939.082275,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ018,1118.937256,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ030,1755.239014,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ031,1496.980713,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ015,996.6748657,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ017,1509.834473,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ034,1249.579224,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ033,1508.45105,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-04-05 00:00,2009-04-05 12:02,2009-04-04 08:20,200904051800,BZ,C,W,1,CAN,NEZ016,2182.841309,2009-04-05 12:02,,,,,FALSE,,,,,,
OAX,2009-12-09 03:00,2009-12-09 11:42,2009-12-08 18:55,200912091800,BZ,C,W,2,CAN,IAZ069,2464.052734,2009-12-09 11:42,,,,,FALSE,,,,,,
